property_type,price_aprox_usd,surface_covered_in_m2,lat,lon,state
apartment,94835.67,65.0,19.392425,-99.140582,Distrito Federal
apartment,396000.0,238.0,21.21578,-86.803391,Quintana Roo
house,97469.99,0.0,21.129547,-86.817017,Quintana Roo
house,42422.67,80.0,21.139732,-86.892083,Quintana Roo
apartment,65873.72,85.0,19.2963742,-99.1186279,Distrito Federal
house,223917.55,206.0,19.2781744,-99.1424947,Distrito Federal
apartment,26296.79,47.0,19.359759,-99.08807,Distrito Federal
apartment,230000.0,134.0,21.137203,-86.768631,Quintana Roo
apartment,94858.16,64.0,19.390062,-99.192293,Distrito Federal
house,279304.58,333.0,19.399295,-99.115256,Distrito Federal
apartment,44178.77,60.0,19.386385,-99.142736,Distrito Federal
apartment,167964.51,83.0,19.305561,-99.171219,Distrito Federal
apartment,79029.72,50.0,19.404661,-99.133858,Distrito Federal
house,187300.44,236.0,21.1136543,-86.8414847,Quintana Roo
apartment,43202.91,50.0,19.410307,-99.065399,Distrito Federal
apartment,152719.99,62.0,19.39365,-99.14769,Distrito Federal
apartment,106690.12,60.0,19.328833,-99.133163,Distrito Federal
apartment,44572.76,85.0,19.457982,-99.19269,Distrito Federal
apartment,20626.75,47.0,19.3481352,-99.0802278,Distrito Federal
house,950000.0,220.0,21.158964,-86.845937,Quintana Roo
apartment,105372.96,120.0,19.417364,-99.159454,Distrito Federal
apartment,65624.33,42.0,19.410553,-99.133858,Distrito Federal
apartment,47348.86,43.0,19.443592,-99.121407,Distrito Federal
apartment,44666.44,80.0,19.391579,-99.182986,Distrito Federal
apartment,58671.66,60.0,19.452473,-99.168346,Distrito Federal
apartment,23603.54,80.0,21.145968,-86.861373,Quintana Roo
apartment,213380.25,96.0,19.35631752,-99.28826141,Distrito Federal
apartment,329368.61,100.0,19.395268,-99.175265,Distrito Federal
apartment,130110.22,75.0,19.391819,-99.188639,Distrito Federal
apartment,136984.85,100.0,19.396504,-99.174624,Distrito Federal
apartment,35695.09,68.0,21.136105,-86.84683,Benito Juárez
apartment,179134.04,110.0,19.381729,-99.164986,Distrito Federal
apartment,292229.0,331.0,21.1108092328,-86.854012236,Quintana Roo
house,4950000.0,850.0,19.390415,-99.254997,Distrito Federal
house,150683.34,260.0,19.300714,-99.12215,Distrito Federal
apartment,110667.85,170.0,21.129547,-86.817017,Quintana Roo
apartment,97891.48,70.0,19.387209,-99.222038,Distrito Federal
apartment,131716.2,120.0,19.390748,-99.158695,Distrito Federal
apartment,33982.78,80.0,19.448187,-99.161176,Distrito Federal
house,263020.6,175.0,19.380747,-99.155304,Distrito Federal
apartment,86748.29,74.0,19.396705,-99.181902,Distrito Federal
house,437401.51,350.0,19.278061,-99.146996,Distrito Federal
house,1710000.0,394.0,21.1347621,-86.7461357,Quintana Roo
apartment,31593.03,70.0,19.379802,-99.111326,Distrito Federal
house,50361.27,70.0,19.323772,-99.116562,Distrito Federal
apartment,35080.76,60.0,19.501818,-99.116044,Distrito Federal
house,176499.72,350.0,19.317653,-99.236291,Distrito Federal
house,1475571.38,660.0,19.267261,-99.146568,Distrito Federal
house,101263.42,200.0,19.358008,-99.127094,Distrito Federal
house,184402.69,229.0,19.317675,-99.09318,Distrito Federal
house,690000.0,350.0,21.1126908709,-86.7653115839,Quintana Roo
apartment,150156.47,78.0,19.322523,-99.141464,Distrito Federal
apartment,125393.83,80.0,19.370042,-99.191442,Distrito Federal
house,136984.85,450.0,19.296993,-98.995972,Distrito Federal
house,65873.72,221.0,21.1758219963,-86.8605192751,Quintana Roo
house,1422872.41,830.0,19.34189,-99.166374,Distrito Federal
apartment,63750.64,67.0,19.3653,-99.148217,Distrito Federal
apartment,36300.98,60.0,19.386852,-99.194748,Distrito Federal
apartment,1800000.0,363.0,19.4278087,-99.1871851,Distrito Federal
house,247626.47,329.0,19.281164,-99.20237,Distrito Federal
apartment,52686.48,96.0,19.391557,-99.180725,Distrito Federal
apartment,66384.96,58.0,19.386852,-99.194748,Distrito Federal
apartment,315065.17,144.0,19.382986,-99.241837,Distrito Federal
apartment,71748.66,60.0,19.383078,-99.185903,Distrito Federal
apartment,85352.1,58.0,19.386852,-99.194748,Distrito Federal
apartment,105820.8,65.0,19.364891,-99.148384,Distrito Federal
apartment,66384.96,65.0,19.36269,-99.150565,Distrito Federal
apartment,33719.34,80.0,19.385027,-99.223488,Distrito Federal
apartment,811969.51,215.0,19.3464202,-99.2537956,Distrito Federal
apartment,439932.13,147.0,19.430132,-99.169144,Distrito Federal
house,350000.0,125.0,20.382834,-87.020298,Quintana Roo
house,123981.3,300.0,19.371317,-99.140957,Distrito Federal
house,322388.59,280.0,19.443031,-99.162435,Distrito Federal
apartment,42570.67,60.0,19.334265,-99.205021,Distrito Federal
apartment,295114.27,109.0,19.41498,-99.177444,Distrito Federal
apartment,65858.1,102.0,19.502632,-99.20617,Distrito Federal
apartment,72760.03,85.0,19.401819,-99.184615,Distrito Federal
apartment,361866.49,70.0,19.357992,-99.064869,Distrito Federal
house,44446.31,120.0,19.405298,-99.164986,Distrito Federal
house,229186.2,370.0,19.508795,-99.125714,Distrito Federal
apartment,202891.06,95.0,19.3628631,-99.1739857,Distrito Federal
apartment,110992.87,80.0,19.431757,-99.161922,Distrito Federal
house,262905.55,190.0,19.364958,-99.144324,Distrito Federal
house,1211789.12,1060.0,19.355921,-99.180214,Distrito Federal
apartment,22128.32,66.0,19.458968,-99.152898,Distrito Federal
store,23708.91,36.0,21.187052,-86.807281,Benito Juárez
apartment,231246.24,100.0,19.432901,-99.213075,Distrito Federal
apartment,48218.66,60.0,19.486021,-99.118413,Distrito Federal
apartment,225450.73,153.0,19.358585,-99.185753,Distrito Federal
apartment,302407.81,1118.0,19.3689778408,-99.1685736179,Distrito Federal
apartment,283425.64,114.0,19.381729,-99.164986,Distrito Federal
apartment,61903.72,44.0,23.634501,-102.552788,Distrito Federal
house,84002.17,120.0,19.305018,-99.247283,Distrito Federal
apartment,35890.24,50.0,19.41275,-99.126007,Distrito Federal
house,1264475.61,245.0,19.356901,-99.218987,Distrito Federal
apartment,193451.28,56.0,19.39365,-99.14769,Distrito Federal
house,112959.82,341.0,19.32459,-99.076139,Distrito Federal
house,176499.72,350.0,19.317922,-99.236124,Distrito Federal
apartment,850000.0,250.0,19.429852,-99.181946,Distrito Federal
apartment,2850000.0,816.0,19.420166,-99.220367,Distrito Federal
apartment,811800.0,283.0,21.129547,-86.817017,Quintana Roo
apartment,275000.0,130.0,20.612621,-87.089168,Quintana Roo
apartment,77148.81,63.0,19.417923,-99.148384,Distrito Federal
apartment,27486.01,55.0,19.422817,-99.058911,Distrito Federal
apartment,659000.0,324.0,21.169173,-86.811768,Quintana Roo
apartment,211114.74,125.0,19.385472,-99.256456,Distrito Federal
apartment,7823.94,49.0,19.2878066,-99.0522925,Distrito Federal
house,67799.54,100.0,19.427636,-99.158267,Distrito Federal
house,103792.37,120.0,19.313719,-99.231792,Distrito Federal
house,650000.0,383.0,20.6135651992,-87.0893418789,Quintana Roo
house,79029.72,250.0,21.129547,-86.817017,Quintana Roo
apartment,120125.18,120.0,19.367931,-99.170262,Distrito Federal
house,1300000.0,300.0,20.8482492,-86.876106,Quintana Roo
house,1475221.54,800.0,21.161908,-86.8515279,Quintana Roo
apartment,84298.37,80.0,19.35782,-99.149406,Distrito Federal
apartment,134756.21,73.0,19.364891,-99.148384,Distrito Federal
apartment,293600.0,99.0,20.6295586,-87.0738851,Quintana Roo
apartment,40041.72,65.0,19.365917,-99.196977,Distrito Federal
apartment,64031.62,60.0,19.405298,-99.164986,Distrito Federal
house,176499.72,200.0,19.374413,-99.105499,Distrito Federal
house,26343.24,116.0,19.2572314,-99.1029664,Distrito Federal
apartment,51632.75,61.0,19.3200381,-99.082512,Distrito Federal
apartment,148558.41,60.0,19.3736979,-99.1933122,Distrito Federal
apartment,250320.14,1.0,21.149204,-86.833328,Quintana Roo
house,1101408.64,682.0,19.390415,-99.254997,Distrito Federal
house,300312.95,430.0,21.147573,-86.832048,Quintana Roo
house,260798.09,280.0,19.3189618,-99.2266013,Distrito Federal
apartment,34254.33,0.0,19.441147,-99.16983,Distrito Federal
apartment,48829.92,70.0,20.6542296048,-87.0873355865,Quintana Roo
apartment,55252.24,90.0,19.306092,-99.113431,Distrito Federal
house,179176.52,200.0,21.145283,-86.822662,Quintana Roo
apartment,284507.01,105.0,19.39516,-99.168487,Distrito Federal
house,113802.8,750.0,19.44401,-99.167377,Distrito Federal
apartment,20552.6,60.0,19.311038,-99.101601,Distrito Federal
apartment,42159.18,59.0,19.4558491807,-99.2046815157,Distrito Federal
apartment,131716.2,95.0,19.414261,-99.104118,Distrito Federal
apartment,1800000.0,313.0,19.430472,-99.188524,Distrito Federal
apartment,280000.0,0.0,20.626583,-87.078659,Quintana Roo
apartment,81683.41,60.0,19.377811,-99.197508,Distrito Federal
apartment,86689.81,65.0,19.3865940087,-99.1936147213,Distrito Federal
apartment,380000.0,166.0,21.0250671811,-86.8110895104,Quintana Roo
apartment,34246.21,60.0,19.328243,-99.077778,Distrito Federal
apartment,45995.3,57.0,19.328392,-99.087854,Distrito Federal
house,727073.47,445.0,19.3235137,-99.2316619,Distrito Federal
apartment,262440.91,100.0,19.2963762,-99.1781383,Distrito Federal
house,18491.05,68.0,21.151917,-86.899796,Benito Juárez
apartment,34831.03,54.0,19.342083,-99.0532159,Distrito Federal
apartment,115937.75,60.0,19.4327514,-99.1517197,Distrito Federal
house,158059.45,207.0,20.6248067308,-87.088137567,Quintana Roo
apartment,88534.28,55.0,19.439253,-99.163605,Distrito Federal
house,471655.85,621.0,21.082655,-86.857162,Quintana Roo
apartment,63243.8,101.0,19.381691,-99.158135,Distrito Federal
house,120019.81,180.0,19.463975,-99.099226,Distrito Federal
apartment,545000.0,146.0,20.628527,-87.069637,Quintana Roo
apartment,28984.43,64.0,21.158964,-86.845937,Quintana Roo
house,488667.13,685.0,19.244321,-99.105067,Distrito Federal
house,94858.16,200.0,21.1340628,-86.8526161,Quintana Roo
apartment,92540.96,755.0,19.39516,-99.168487,Distrito Federal
house,86932.69,200.0,19.460218,-99.113106,Distrito Federal
apartment,63238.77,88.0,19.516777,-99.160149,Distrito Federal
apartment,97404.94,90.0,19.42196,-99.174559,Distrito Federal
house,159113.18,400.0,19.473623,-99.124863,Distrito Federal
apartment,39883.66,70.0,19.372724,-99.137094,Distrito Federal
store,315000.0,136.0,20.8493562787,-86.8756813999,Quintana Roo
apartment,316193.86,120.0,19.4195256,-99.162549,Distrito Federal
house,385138.19,400.0,19.388044,-99.185753,Distrito Federal
apartment,44583.33,60.0,19.457982,-99.19269,Distrito Federal
house,205371.91,245.0,19.271916,-99.221458,Distrito Federal
apartment,110825.95,65.0,19.3794059,-99.1591446,Distrito Federal
house,144922.18,300.0,19.466514,-99.187772,Distrito Federal
apartment,79029.72,91.0,19.4503249,-99.1351802,Distrito Federal
apartment,189382.2,146.0,21.145283,-86.822662,Quintana Roo
apartment,36195.61,59.0,19.523798,-99.155941,Distrito Federal
apartment,161826.53,81.0,19.362511,-99.166374,Distrito Federal
house,168636.73,261.0,19.3028822,-99.1366219,Distrito Federal
house,806294.36,348.0,19.3214747362,-99.2309335247,Distrito Federal
apartment,33508.6,70.0,19.335364,-99.024154,Distrito Federal
apartment,313558.92,137.0,19.3302564,-99.2575527,Distrito Federal
apartment,197574.31,97.0,19.400249,-99.177444,Distrito Federal
apartment,43729.78,54.0,19.500817,-99.184177,Distrito Federal
apartment,72707.34,42.0,19.443178,-99.144234,Distrito Federal
apartment,240250.36,115.0,19.4024797,-99.1565217,Distrito Federal
house,142287.24,178.0,21.1773905,-86.8179817,Quintana Roo
house,421491.87,475.0,19.3269,-99.233333,Distrito Federal
apartment,152790.8,95.0,19.394358,-99.177444,Distrito Federal
house,726546.61,100.0,19.353813,-99.163605,Distrito Federal
apartment,82138.73,63.0,19.2990233,-99.0436467,Distrito Federal
apartment,63898.79,70.0,19.336994,-99.162355,Distrito Federal
house,152827.03,461.0,19.2992988,-99.150598,Distrito Federal
apartment,97493.1,130.0,19.419271,-99.154018,Distrito Federal
house,60589.45,60.0,19.396893,-99.190306,Distrito Federal
house,207387.69,300.0,19.301835,-99.206377,Distrito Federal
house,563218.51,700.0,19.426344,-99.146245,Distrito Federal
apartment,40568.59,70.0,19.36243,-99.176957,Distrito Federal
apartment,105372.96,58.0,19.506042,-99.153915,Distrito Federal
house,68492.42,85.0,19.331858,-99.062324,Distrito Federal
house,274034.68,301.0,21.139086,-86.84964,Quintana Roo
apartment,36511.73,69.0,19.329989,-99.085524,Distrito Federal
house,100075.35,155.0,21.129547,-86.817017,Quintana Roo
house,294517.44,293.0,19.33981,-99.216052,Distrito Federal
apartment,339908.4,111.0,19.3753973563,-99.1734831344,Distrito Federal
house,53740.21,78.0,19.298681,-99.058802,Distrito Federal
apartment,163366.83,80.0,19.3499358,-99.2906864,Distrito Federal
apartment,29962.59,68.0,19.461349,-99.149071,Distrito Federal
apartment,40041.72,60.0,19.387868,-99.142256,Distrito Federal
apartment,163854.96,280.0,19.403334,-99.157755,Distrito Federal
apartment,34193.52,50.0,19.443592,-99.121407,Distrito Federal
apartment,319830.09,125.0,19.392978,-99.1760298,Distrito Federal
apartment,183919.43,125.0,19.3737616972,-99.1773503087,Distrito Federal
apartment,231820.52,102.0,19.333154,-99.241137,Distrito Federal
house,79029.72,120.0,23.634501,-102.552788,Zacatecas
apartment,230000.0,75.0,21.1295466,-86.8170132,Quintana Roo
apartment,78784.97,0.0,19.3612250211,-99.1916245222,Distrito Federal
apartment,337720.36,135.0,23.634501,-102.552788,Distrito Federal
house,76062.17,297.0,19.488822,-99.092722,Distrito Federal
apartment,160000.0,88.0,20.626583,-87.078659,Quintana Roo
store,209165.34,0.0,20.6329489078,-87.0749400953,Quintana Roo
apartment,39764.59,70.0,19.366996,-99.191824,Distrito Federal
house,121207.64,170.0,21.140728704,-86.8384051323,Quintana Roo
apartment,563879.06,221.0,19.3928136,-99.1738213,Distrito Federal
house,1043192.37,538.0,19.49198,-99.13209,Distrito Federal
house,199154.9,181.0,20.676314354,-87.0433473587,Quintana Roo
apartment,168122.56,63.0,19.394358,-99.177444,Distrito Federal
house,350000.0,85.0,18.348334,-87.805207,Quintana Roo
house,192305.66,308.0,19.372453,-99.106977,Distrito Federal
apartment,108939.32,65.0,19.366901,-99.297272,Distrito Federal
apartment,168596.74,107.0,19.368475,-99.17952,Distrito Federal
house,176499.72,350.0,19.317653,-99.236291,Distrito Federal
apartment,189716.32,120.0,19.384533,-99.183172,Distrito Federal
apartment,115589.04,64.0,19.386852,-99.194748,Distrito Federal
apartment,35826.8,58.0,19.370822,-99.105239,Distrito Federal
house,32373.98,130.0,19.347357,-99.254654,Distrito Federal
apartment,121788.49,70.0,19.366302,-99.193367,Distrito Federal
apartment,42676.05,60.0,19.443178,-99.144234,Distrito Federal
apartment,24768.51,60.0,19.3703924,-99.1249413,Distrito Federal
apartment,49279.39,70.0,19.475187,-99.175019,Distrito Federal
house,358268.08,630.0,19.426837,-99.109201,Distrito Federal
apartment,437297.81,240.0,19.301467,-99.203991,Distrito Federal
apartment,519594.1,285.0,19.392937,-99.263313,Distrito Federal
apartment,56972.86,60.0,19.402944,-99.199727,Distrito Federal
house,237089.17,308.0,19.461558,-99.130454,Distrito Federal
apartment,71653.61,90.0,19.391819,-99.188639,Distrito Federal
apartment,171703.72,1995.0,19.431791,-99.171759,Distrito Federal
apartment,64661.64,0.0,19.2875593,-99.1486122,Distrito Federal
house,1250000.0,350.0,23.634501,-102.552788,Quintana Roo
house,44374.48,70.0,19.366448,-99.21224,Distrito Federal
apartment,155288.07,74.0,19.39365,-99.14769,Distrito Federal
apartment,163103.33,65.0,19.446829,-99.159454,Distrito Federal
apartment,265539.87,0.0,19.4432263,-99.2028656,Distrito Federal
apartment,37943.26,45.0,19.37309,-99.070516,Distrito Federal
house,46726.44,90.0,19.361114,-99.222666,Distrito Federal
house,164065.71,110.0,19.315106,-99.09047,Distrito Federal
apartment,61626.9,75.0,19.39942,-99.141673,Distrito Federal
apartment,48822.77,190.0,19.428622,-99.14602,Distrito Federal
house,1800000.0,1360.0,19.3931419,-99.2597205,Distrito Federal
apartment,463641.05,220.0,19.390415,-99.254997,Distrito Federal
apartment,53160.66,60.0,19.399375,-99.149986,Distrito Federal
apartment,34948.68,50.0,19.455243,-99.184091,Distrito Federal
house,281482.76,565.0,21.166525,-86.821495,Quintana Roo
apartment,675000.0,104.0,20.627593,-87.069489,Quintana Roo
apartment,55847.67,60.0,19.400623,-99.14173,Distrito Federal
apartment,277038.52,203.0,21.158964,-86.845937,Quintana Roo
apartment,48631.25,50.0,19.28008,-99.217066,Distrito Federal
apartment,94858.16,62.0,19.3847719,-99.1664667,Distrito Federal
apartment,326733.66,133.0,19.3036292,-99.2239303,Distrito Federal
apartment,131926.95,90.0,19.431629,-99.162762,Distrito Federal
house,135835.83,90.0,19.330778,-99.226383,Distrito Federal
apartment,172811.66,85.0,19.391922,-99.151466,Distrito Federal
apartment,26349.48,43.0,19.4292489747,-99.0636818111,Distrito Federal
apartment,131716.2,7772.0,19.371179,-99.139781,Distrito Federal
apartment,121178.91,70.0,19.3845952529,-99.1984791771,Distrito Federal
apartment,90093.88,630.0,19.375374,-99.137657,Distrito Federal
house,61906.61,39.0,19.365474,-99.206474,Distrito Federal
house,420000.0,268.0,20.613375,-87.089897,Quintana Roo
apartment,38987.99,67.0,19.493185,-99.205755,Distrito Federal
apartment,70599.88,65.0,19.439946,-99.099697,Distrito Federal
apartment,1700000.0,414.0,19.392937,-99.263313,Distrito Federal
apartment,3950000.0,1300.0,19.402315,-99.225042,Distrito Federal
store,760968.48,100.0,19.335863,-99.198759,Distrito Federal
apartment,500000.0,340.0,21.1652832513,-86.8136816022,Quintana Roo
apartment,42676.05,5035.0,19.442352,-99.160208,Distrito Federal
apartment,56936.49,70.0,19.379765,-99.150386,Distrito Federal
apartment,246509.52,111.0,19.374796,-99.1522,Distrito Federal
house,43729.78,100.0,21.140529,-86.845276,Quintana Roo
apartment,125843.0,68.0,21.129547,-86.817017,Quintana Roo
house,287209.43,290.0,19.3434226,-99.1359301,Distrito Federal
store,88534.28,160.0,21.192402,-86.834587,Quintana Roo
house,120915.48,170.0,19.452692,-99.072311,Distrito Federal
apartment,35616.06,77.0,19.49551,-99.201675,Distrito Federal
apartment,474178.35,260.0,21.1400687,-86.8424262,Quintana Roo
apartment,35631.86,70.0,19.35944,-99.217652,Distrito Federal
apartment,995000.0,331.0,19.4095028,-99.2272939,Distrito Federal
house,121178.91,160.0,20.6773181299,-87.0512866974,Quintana Roo
house,585485.64,742.0,19.332435,-99.202588,Distrito Federal
apartment,44178.77,60.0,19.382649,-99.143384,Distrito Federal
house,108032.9,150.0,19.307883,-99.239444,Distrito Federal
house,549000.0,320.0,20.626583,-87.078659,Solidaridad
apartment,43202.91,80.0,19.487856,-99.0909786,Distrito Federal
apartment,26349.48,69.0,19.289772,-99.05598,Distrito Federal
apartment,103897.74,104.0,19.302422,-99.230829,Distrito Federal
apartment,115561.63,64.0,19.386852,-99.194748,Distrito Federal
house,1001043.19,600.0,19.493973,-99.130394,Distrito Federal
apartment,57955.13,51.0,19.452689,-99.117987,Distrito Federal
apartment,44783.51,56.0,19.392349,-99.07093,Distrito Federal
apartment,137017.34,154.0,21.1983978,-86.826621,Quintana Roo
apartment,700000.0,236.0,21.0979898233,-86.7645008595,Quintana Roo
apartment,86880.01,87.0,19.348122,-99.125716,Distrito Federal
apartment,68861.23,51.0,19.473415,-99.143539,Distrito Federal
apartment,32350.02,41.0,19.489986,-99.185307,Distrito Federal
apartment,61537.81,52.0,19.392349,-99.07093,Distrito Federal
apartment,110114.75,93.0,19.387579,-99.170353,Distrito Federal
apartment,35483.96,75.0,19.455894,-99.18355,Distrito Federal
apartment,35793.4,60.0,19.414009,-99.142481,Distrito Federal
house,95728.44,160.0,19.290855,-99.1308,Distrito Federal
apartment,45310.37,65.0,19.474655,-99.189277,Distrito Federal
apartment,22912.19,51.0,19.342083,-99.0532159,Distrito Federal
apartment,158096.93,230.0,21.1902642,-86.8198375,Quintana Roo
apartment,35278.86,56.0,19.525082,-99.144372,Distrito Federal
house,135430.6,250.0,19.362488,-99.108269,Distrito Federal
apartment,329368.61,100.0,19.395268,-99.175265,Distrito Federal
apartment,51381.5,75.0,19.4302678,-99.1373136,Distrito Federal
apartment,50958.36,90.0,19.446852,-99.154461,Distrito Federal
apartment,177026.58,120.0,19.366901,-99.297272,Distrito Federal
apartment,168596.74,78.0,19.3499358,-99.2906864,Distrito Federal
house,184402.69,260.0,21.129547,-86.817017,Quintana Roo
apartment,51076.22,80.0,19.396593,-99.133163,Distrito Federal
house,49999.47,150.0,19.361606,-99.201739,Distrito Federal
apartment,113275.94,79.0,19.309208,-99.171906,Distrito Federal
apartment,94014.97,84.0,19.40012,-99.1532,Distrito Federal
apartment,720000.0,160.0,19.2464696,-99.1013498,Distrito Federal
apartment,34246.21,60.0,19.328669,-99.070529,Distrito Federal
apartment,90747.64,91.0,19.336195,-99.23692,Distrito Federal
apartment,60589.45,65.0,19.346609,-99.072311,Distrito Federal
apartment,436000.0,83.0,20.6345714787,-87.0665431023,Quintana Roo
apartment,97996.85,66.0,19.336195,-99.23692,Distrito Federal
apartment,194000.0,59.0,20.6323624968,-87.0735168534,Quintana Roo
apartment,105397.95,72.0,19.3776513,-99.1284592,Distrito Federal
house,168596.74,150.0,19.353288,-99.244721,Distrito Federal
apartment,360000.0,250.0,21.203037,-86.806343,Quintana Roo
apartment,107322.36,70.0,19.305984,-99.127341,Distrito Federal
apartment,90993.53,113.0,19.421006,-99.168362,Distrito Federal
apartment,48550.59,71.0,19.52589,-99.151703,Distrito Federal
house,81934.06,120.0,19.415015,-99.118212,Distrito Federal
house,299362.49,195.0,19.400249,-99.177444,Distrito Federal
apartment,142253.5,55.0,19.372684,-99.183678,Distrito Federal
apartment,110641.61,63.0,19.322154,-99.134395,Distrito Federal
apartment,52686.48,61.0,19.376392,-99.192439,Distrito Federal
apartment,310923.97,309.0,21.158964,-86.845937,Quintana Roo
apartment,35185.34,72.0,19.442791,-99.124128,Distrito Federal
house,84187.41,100.0,19.304086,-99.249493,Distrito Federal
apartment,49876.55,66.0,19.38499,-99.227853,Distrito Federal
apartment,123549.8,70.0,19.371534,-99.150542,Distrito Federal
house,2600000.0,800.0,19.368239479,-99.2512178421,Distrito Federal
apartment,530000.0,250.0,21.1321482,-86.8601348,Quintana Roo
apartment,88513.29,55.0,19.439253,-99.163605,Distrito Federal
house,305581.6,512.0,19.343979,-99.124863,Distrito Federal
apartment,1126356.0,162.0,19.435359,-99.210742,Distrito Federal
apartment,267000.0,137.0,20.199863,-87.455464,Quintana Roo
house,46902.09,135.0,21.1358569342,-86.8371164917,Quintana Roo
apartment,47499.69,69.0,20.6539886626,-87.087635994,Quintana Roo
apartment,30136.66,999.0,19.454332,-99.200287,Distrito Federal
house,116928.85,200.0,19.293903,-99.215174,Distrito Federal
apartment,48629.62,70.0,19.377033,-99.129878,Distrito Federal
house,150192.08,190.0,19.2606652672,-99.0232535452,Distrito Federal
house,237089.17,225.0,19.351396,-99.130999,Distrito Federal
apartment,260555.73,87.0,19.436516,-99.173988,Distrito Federal
apartment,156750.0,77.0,20.6238429,-87.0846239,Quintana Roo
apartment,97224.1,104.0,19.371132,-99.173156,Distrito Federal
house,202673.0,153.0,20.913662272,-86.8744432926,Quintana Roo
apartment,116338.07,90.0,19.307951,-99.134178,Distrito Federal
apartment,309000.0,121.0,20.199943,-87.451567,Quintana Roo
apartment,123813.23,70.0,19.387245,-99.147388,Distrito Federal
apartment,52686.48,68.0,19.453691,-99.180039,Distrito Federal
apartment,420000.0,145.0,19.420166,-99.220367,Distrito Federal
apartment,44161.44,51.0,19.392349,-99.07093,Distrito Federal
apartment,337273.46,110.0,19.3445052,-99.2738167,Distrito Federal
apartment,421491.87,128.0,19.399565,-99.162555,Distrito Federal
apartment,289844.37,156.0,19.3631419,-99.2880597,Distrito Federal
apartment,151737.07,106.0,19.350054,-99.123476,Distrito Federal
house,262958.24,175.0,19.380273,-99.155793,Distrito Federal
house,65873.72,187.0,21.137991,-86.870964,Quintana Roo
apartment,39040.68,90.0,19.380953,-99.245651,Distrito Federal
apartment,135027.0,75.0,21.129547,-86.817017,Quintana Roo
apartment,84466.97,110.0,19.389067,-99.162824,Distrito Federal
house,232347.39,595.0,19.237345,-99.092361,Distrito Federal
apartment,85878.96,288.0,19.396893,-99.152302,Distrito Federal
house,68492.42,182.0,19.343424,-99.135933,Distrito Federal
apartment,215000.0,65.0,21.134224,-86.827522,Solidaridad
apartment,3000000.0,482.0,21.1470186868,-86.7890967686,Quintana Roo
house,289775.66,220.0,19.43036,-99.170346,Distrito Federal
house,135057.59,180.0,21.111965,-86.852333,Quintana Roo
apartment,69019.29,96.0,19.39229,-99.182018,Distrito Federal
house,763954.01,380.0,19.3412635,-99.2585662,Distrito Federal
apartment,90936.87,56.0,19.444584,-99.174675,Distrito Federal
house,980548.15,600.0,19.312861,-99.20635,Distrito Federal
apartment,129714.12,69.0,19.374473,-99.142868,Distrito Federal
apartment,25822.49,65.0,19.456941,-99.156312,Distrito Federal
apartment,226551.88,90.0,19.358675,-99.273838,Distrito Federal
house,3500000.0,1500.0,19.420166,-99.220367,Distrito Federal
apartment,89482.86,65.0,20.6194371076,-87.0861808956,Quintana Roo
house,119598.31,90.0,19.403221,-99.161686,Distrito Federal
apartment,44794.13,0.0,19.3850289,-99.1944048,Distrito Federal
apartment,27198.6,60.0,19.307417,-99.125191,Distrito Federal
apartment,439932.13,147.0,19.430132,-99.169144,Distrito Federal
apartment,450000.0,223.0,21.0906563,-86.7717484,Quintana Roo
house,29557.11,40.0,21.180864,-86.85466,Benito Juárez
apartment,600000.0,215.0,21.1348471,-86.8720579,Quintana Roo
apartment,59430.35,55.0,19.313175,-99.115,Distrito Federal
apartment,225450.73,153.0,19.358585,-99.185753,Distrito Federal
apartment,152211.25,80.0,19.39365,-99.14769,Distrito Federal
apartment,50385.91,50.0,19.440147,-99.172286,Distrito Federal
house,579688.75,690.0,21.1521359683,-86.8196618557,Quintana Roo
apartment,31655.09,55.0,19.517644,-99.138753,Distrito Federal
apartment,123813.23,65.0,19.45337,-99.181695,Distrito Federal
house,85990.66,90.0,19.338743,-99.219388,Distrito Federal
apartment,129674.58,113.0,19.383364,-99.168089,Distrito Federal
apartment,70547.2,42.0,19.308287,-99.146309,Distrito Federal
house,279304.58,299.0,19.439706,-99.157918,Distrito Federal
apartment,526812.37,178.0,19.347138,-99.2561697,Distrito Federal
house,69562.65,89.0,19.3566903,-99.2304104,Distrito Federal
apartment,84999.1,85.0,19.347664,-99.125001,Distrito Federal
apartment,117735.94,62.0,19.4306069,-99.0949899,Distrito Federal
apartment,78502.86,70.0,19.401819,-99.184615,Distrito Federal
house,36836.58,160.0,19.350107,-99.061256,Distrito Federal
apartment,65494.29,80.0,19.481886,-99.112749,Distrito Federal
apartment,79048.46,100.0,19.398511,-99.136721,Distrito Federal
apartment,94835.67,90.0,19.400785,-99.147419,Distrito Federal
house,107322.36,215.0,19.471288,-99.070784,Distrito Federal
apartment,359000.0,115.0,20.6353700424,-87.0614790916,Quintana Roo
apartment,26943.86,90.0,19.38828,-99.195529,Distrito Federal
apartment,72707.34,42.0,19.443178,-99.144234,Distrito Federal
house,710951.41,250.0,19.326177,-99.208752,Distrito Federal
apartment,184402.69,141.0,19.386296,-99.090987,Distrito Federal
apartment,1500000.0,450.0,19.3843018,-99.2656696,Distrito Federal
apartment,41854.14,60.0,19.365533,-99.1923,Distrito Federal
apartment,420000.0,115.0,20.6312103676,-87.0664519072,Quintana Roo
